id,reservation_status
75636,0
75637,1
75638,1
75639,0
75640,0
75641,1
75642,1
75643,1
75644,1
75645,1
75646,1
75647,1
75648,1
75649,1
75650,0
75651,1
75652,0
75653,0
75654,1
75655,1
75656,1
75657,1
75658,1
75659,0
75660,1
75661,1
75662,1
75663,0
75664,1
75665,1
75666,1
75667,0
75668,1
75669,1
75670,1
75671,1
75672,0
75673,0
75674,0
75675,1
75676,0
75677,1
75678,0
75679,1
75680,0
75681,1
75682,1
75683,1
75684,0
75685,1
75686,1
75687,0
75688,0
75689,0
75690,1
75691,1
75692,0
75693,1
75694,1
75695,1
75696,1
75697,1
75698,1
75699,1
75700,0
75701,1
75702,0
75703,1
75704,0
75705,0
75706,1
75707,1
75708,0
75709,0
75710,1
75711,0
75712,1
75713,1
75714,0
75715,1
75716,0
75717,0
75718,0
75719,1
75720,1
75721,1
75722,1
75723,1
75724,1
75725,1
75726,0
75727,0
75728,1
75729,1
75730,1
75731,1
75732,0
75733,1
75734,1
75735,1
75736,1
75737,1
75738,1
75739,0
75740,1
75741,0
75742,1
75743,1
75744,0
75745,1
75746,0
75747,1
75748,1
75749,1
75750,0
75751,1
75752,1
75753,0
75754,0
75755,1
75756,1
75757,1
75758,0
75759,1
75760,1
75761,1
75762,0
75763,1
75764,1
75765,0
75766,0
75767,1
75768,1
75769,1
75770,1
75771,0
75772,1
75773,1
75774,1
75775,0
75776,0
75777,1
75778,1
75779,0
75780,1
75781,1
75782,0
75783,0
75784,1
75785,0
75786,1
75787,1
75788,1
75789,0
75790,1
75791,0
75792,0
75793,1
75794,0
75795,0
75796,1
75797,1
75798,1
75799,1
75800,0
75801,0
75802,1
75803,1
75804,0
75805,0
75806,1
75807,0
75808,1
75809,1
75810,1
75811,0
75812,1
75813,0
75814,1
75815,0
75816,0
75817,0
75818,1
75819,1
75820,0
75821,1
75822,1
75823,1
75824,1
75825,0
75826,0
75827,0
75828,1
75829,1
75830,1
75831,0
75832,1
75833,1
75834,1
75835,0
75836,1
75837,0
